hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
219,arachidonate secretion,ALKAL2 BAMBI CCN6 CFC1 CFC1B DKK1 DKK2 DKK4 EDDM13 EDN3 ELSPBP1 ESM1 FOLR1 FOLR2 FOLR3 GFRA3 IGFBP1 IGFBP3 IGFBP5 IGFBP6 IZUMO1R LALBA LY6G5B LYZL1 LYZL2 LYZL4 LYZL6 MFAP2 MFAP5 NBL1 NRN1 PLA2G10 PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G5 RETNLB RTBDN STC1 STC2 SYCN TAFA1 TAFA2 TAFA3 TAFA4 TAFA5 TDGF1 TMEM190 TWSG1 WFDC1,
191,artery morphogenesis,ARGFX BHLHE22 BHLHE41 CXXC5 DMRT1 DMRT3 DMRTA1 DMRTA2 DUX4 EN2 EOMES FOXA1 FOXA3 FOXB1 FOXB2 FOXC1 FOXC2 FOXD1 FOXD2 FOXD3 FOXE1 FOXF1 FOXF2 FOXG1 FOXI1 FOXI2 FOXI3 FOXL1 FOXL2 HAND2 LEF1 LEUTX MAF MAFA MAFB NANOG NEUROD2 NOBOX OLIG2 PAX2 PAX4 POU2F3 POU5F1 POU5F1B POU5F2 PRDM6 PRDM8 PRRX1 SAMD11 SAMD7 SIX1 SIX2 SIX3 SIX6 SKIDA1 SKOR1 SKOR2 SOX1 SOX11 SOX14 SOX2 SOX21 SOX4 TBX1 TBX2 TBX3 TCF7 TLE5 VGLL2 VGLL3 ZNF503 ZNF703,
292,aspartate family amino acid metabolic process,ABHD12 ACCS AGPS ASNS ASPA CIDEB DDO GALK2 GPD2 KIF25 OSGIN1 PAOX PTGR2 SCRN2 SPTLC1 UEVLD VAT1L,
201,aspartic-type endopeptidase activity,APCDD1L BTBD17 CHI3L1 CHI3L2 CHIA CRTAP CTSD CTSE DHH DNASE1 DNASE1L2 DNASE2B IHH NAPSA P3H1 P3H2 P3H3 P3H4 P4HA3 P4HTM PGA3 PGA4 PGA5 PGC PRF1 REN SHH SUN3 TCN2,
275,axonemal microtubule,ACRV1 AMBN C10orf82 C11orf1 C19orf71 C1orf100 C20orf85 C2orf73 C3orf84 C4orf45 C4orf47 C5orf49 C6orf15 C7orf31 C7orf57 CABYR CARD19 CATSPER1 CCDC60 CDSN CFAP126 CFAP77 CPHXL CRNN DSPP EFCAB12 EFHB ENAM ENKUR FAM166A FAM166B FAM166C FAM183A FAM221B FLG2 FSCB HEMGN HRNR IBSP IQCM KPRP LEXM LRRC37A LRRC37A2 LRRC37A3 LRRC37B MARCOL MEPE MS4A14 NBPF1 NBPF11 NBPF12 NBPF14 NBPF15 NBPF26 NBPF3 NBPF4 NBPF6 NBPF9 ODF3 ODF3B ODF3L1 ODF3L2 PIFO PPP1R32 RPTN SAMD15 SAXO1 SAXO2 SBSN SELENOV SEMG1 SEMG2 SMCO2 SMTNL1 SPAG8 SPATA32 SPATA48 SPP1 STPG1 STPG2 STPG4 TCHHL1 TEX26 TEX37 TEX45 TEX55 THEG THEGL TXNDC2,
255,axoneme assembly,BBOF1 C20orf96 C6orf118 C6orf163 CAGE1 CCDC110 CCDC113 CCDC121 CCDC122 CCDC146 CCDC153 CCDC154 CCDC172 CCDC175 CCDC178 CCDC183 CCDC185 CCDC38 CCDC40 CCDC42 CCDC63 CCDC65 CCDC78 CCDC83 CCDC96 CFAP100 CFAP157 CFAP45 CFAP53 CFAP57 CFAP73 CFAP99 DRC1 DRC7 FAM81B FLACC1 GAS8 GOLGA8G IFT74 IFT81 IQANK1 IQCD IQCG KIF4B KLF18 MNS1 RIBC2 SPZ1 TCHP TRAF3IP3 TSNAXIP1 TXLNB,
168,basement membrane,AGRN CNTNAP2 CNTNAP5 COL12A1 COL14A1 COL6A3 COL6A5 COL6A6 CR1 CUBN DMBT1 EYS FBN1 FBN2 FBN3 FN1 IGSF10 LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMB4 LAMC1 LAMC2 LAMC3 LGI2 LGI3 LGI4 LPA LRP4 LRP5 MALRD1 MEGF8 MUC2 MUC6 NOTCH1 NOTCH2 NOTCH3 OTOG OTOGL RELN ROS1 SORL1 STAB1 STAB2 SVEP1 TECTA TG TNC TNN VWF ZAN,
119,binding of sperm to zona pellucida,ACR PRSS21 PRSS22 PRSS33 PRSS37 PRSS38 PRSS41 PRSS48 PRSS50 PRSS51 PRSS54 PRSS55 PRSS8 TMPRSS11A TMPRSS11B TMPRSS11D TMPRSS11E TMPRSS11F TMPRSS12 TPSG1,
13,bitter taste receptor activity,TAS2R1 TAS2R10 TAS2R13 TAS2R14 TAS2R16 TAS2R19 TAS2R20 TAS2R3 TAS2R30 TAS2R31 TAS2R38 TAS2R39 TAS2R4 TAS2R40 TAS2R41 TAS2R42 TAS2R43 TAS2R46 TAS2R5 TAS2R50 TAS2R60 TAS2R7 TAS2R8 TAS2R9 VN1R1 VN1R2 VN1R4 VN1R5,
155,body fluid secretion,CSN1S1 CSN2 CSN3 FDCSP HTN1 HTN3 MUC7 OPRPN STATH,
130,cAMP biosynthetic process,ABCB10 ABCB6 ABCB8 ABCB9 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 CNNM1 HAS1 HAS2 HAS3 KCND2 KCNMA1 KCNT1 TAP1 TAP2 UGCG,
294,calcineurin complex,AP5B1 CPSF1 EIF3L FAAP100 GPAT2 HECTD3 HPS6 LZTR1 MROH6 OTOA PAN2 PEAK3 PLCD4 PPP3CA PPP3CB PPP3CC PRRT4 RCBTB1 RCBTB2 SF3B3 STRC TAF1C TTC5,
131,calcium ion import across plasma membrane,ABCD4 ABCG1 ABCG2 ABCG4 ABCG5 MCOLN2 MCOLN3 PKD2L2 PTCHD3 RHBDF1 TRPA1 TRPC4 TRPC7 TRPM1 TRPM2 TRPM4 TRPM5 TRPM8 TRPV1 TRPV2 TRPV3 TRPV4 TRPV5 TRPV6,
22,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,PCDH10 PCDH12 PCDH17 PCDH18 PCDH20 PCDH8 PCDHA1 PCDHA10 PCDHA11 PCDHA12 PCDHA13 PCDHA2 PCDHA3 PCDHA4 PCDHA5 PCDHA6 PCDHA7 PCDHA8 PCDHA9 PCDHAC1 PCDHAC2 PCDHB1 PCDHB10 PCDHB11 PCDHB12 PCDHB13 PCDHB14 PCDHB15 PCDHB16 PCDHB2 PCDHB3 PCDHB4 PCDHB5 PCDHB6 PCDHB7 PCDHB8 PCDHB9 PCDHGC3 PCDHGC4 PCDHGC5,
52,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,CDH1 CDH10 CDH11 CDH12 CDH13 CDH15 CDH16 CDH17 CDH18 CDH19 CDH2 CDH20 CDH22 CDH24 CDH26 CDH3 CDH4 CDH5 CDH6 CDH7 CDH8 CDH9 CDHR1 CDHR2 CDHR3 CDHR4 DSC1 DSC3 DSG1 DSG2 DSG3 DSG4 PCDH1 PCDH15 PCDH7 PCDH9,
286,calcium-dependent cysteine-type endopeptidase activity,CAPN1 CAPN11 CAPN12 CAPN13 CAPN14 CAPN2 CAPN3 CAPN8 CAPN9 CASP8 DAGLB DDX58 DQX1 DTX3L FAM111A FAM111B IFI44 IFI44L IFIH1 IFIT3 MSLN MX2 NOX4 NOX5 OAS2 OAS3 OASL PARP14 PARP15 PARP9 RNASEL SAMD9 SAMD9L SEL1L SLFN11 SLFN12 SLFN13 SLFN14 SLFN5 TMEM43,
38,calcium-dependent phospholipid binding,ANXA1 ANXA10 ANXA13 ANXA2 ANXA3 ANXA4 ANXA5 ANXA6 ANXA8 ANXA8L1 ANXA9,
98,calcium-dependent phospholipid binding,BSCL2 CLCC1 CPNE1 CPNE2 CPNE3 CPNE4 CPNE5 CPNE6 CPNE7 CPNE8 CPNE9 LNPK MFAP3 MFAP3L RETREG1 RETREG2 RETREG3 RIC3 RNF19A RNF19B TMEM117 TMX4,
23,calcium-dependent protein binding,S100A1 S100A10 S100A11 S100A12 S100A13 S100A14 S100A16 S100A2 S100A3 S100A4 S100A5 S100A6 S100A7 S100A7A S100A8 S100A9 S100B S100P S100Z,
104,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CLDN1 CLDN10 CLDN11 CLDN12 CLDN14 CLDN15 CLDN16 CLDN17 CLDN18 CLDN19 CLDN20 CLDN22 CLDN23 CLDN24 CLDN25 CLDN3 CLDN4 CLDN5 CLDN6 CLDN7 CLDN8 CLDN9 CLDND1 CLDND2 CLRN1 CLRN2 CLRN3 EMP1 EMP2 EMP3 GSG1 GSG1L GSG1L2 LHFPL2 LHFPL3 LHFPL4 LHFPL5 LHFPL6 LIM2 MOSMO NKAIN1 NKG7 ODF4 PERP PMP22 SYNGR4 TM4SF1 TM4SF18 TM4SF19 TM4SF20 TM4SF4 TM4SF5 TMEM114 TMEM127 TMEM140 TMEM178A TMEM178B TMEM179 TMEM182 TMEM196 TMEM202 TMEM204 TMEM225 TMEM225B TMEM235 TMEM37,
137,carbohydrate transmembrane transporter activity,CLN3 CTAGE1 CTAGE15 CTAGE4 CTAGE6 CTAGE8 CTAGE9 FLVCR1 FLVCR2 MFSD1 MFSD10 MFSD11 MFSD12 MFSD14A MFSD14B MFSD2A MFSD2B MFSD3 MFSD4A MFSD6L MFSD8 MFSD9 MIA2 OTOP3 SLC10A1 SLC10A2 SLC14A1 SLC14A2 SLC15A1 SLC15A2 SLC15A3 SLC15A4 SLC16A1 SLC16A10 SLC16A11 SLC16A12 SLC16A13 SLC16A14 SLC16A3 SLC16A4 SLC16A5 SLC16A6 SLC16A7 SLC16A8 SLC16A9 SLC17A1 SLC17A2 SLC17A3 SLC17A4 SLC17A5 SLC17A9 SLC18A1 SLC18A2 SLC18B1 SLC19A1 SLC19A2 SLC19A3 SLC20A1 SLC22A15 SLC22A18 SLC22A23 SLC29A1 SLC29A2 SLC29A3 SLC29A4 SLC2A1 SLC2A10 SLC2A11 SLC2A12 SLC2A13 SLC2A14 SLC2A2 SLC2A3 SLC2A4 SLC2A5 SLC2A6 SLC2A7 SLC2A8 SLC2A9 SLC35G2 SLC35G3 SLC35G4 SLC35G5 SLC35G6 SLC37A1 SLC37A2 SLC37A3 SLC37A4 SLC40A1 SLC43A1 SLC43A2 SLC43A3 SLC45A1 SLC45A2 SLC45A3 SLC45A4 SLC46A1 SLC46A2 SLC46A3 SLC49A3 SLC49A4 SLC52A1 SLC52A2 SLC52A3 SLC7A13 SLC7A4 SLCO1A2 SLCO1B1 SLCO1B3 SLCO1C1 SLCO2A1 SLCO2B1 SLCO3A1 SLCO4A1 SLCO4C1 SLCO5A1 SLCO6A1 SPNS1 SPNS2 SPNS3 SVOP SVOPL TMEM144 UNC93A UNC93B1,
156,carbon-sulfur lyase activity,ALOX5AP ATP6V0C DOLPP1 ERG28 FAIM2 ICMT KDELR3 MGST2 MGST3 MPDU1 PEMT PLPP6 RHBDL2 SERINC5 SLC35B1 SURF4 TMEM254 TMEM97 TRAM1 TRAM2 VKORC1,
213,carbonate dehydratase activity,ART3 CA1 CA10 CA13 CA2 CA3 CA5A CA7 DIO1 DIO2 DIO3 ERAP1 ERAP2 GLB1L3 GPX3 GPX6 LNPEP LTA4H LVRN PON1 PON3 TOR1A TOR1B TOR2A,
348,carboxylic ester hydrolase activity,ACOT1 ACOT11 ACOT2 ACOT4 ASPG AZIN1 CYB5R2 CYB5R3 DAO ESD IDO1 IDO2 PGM3 PYROXD2 SIGMAR1 SPHK1 SPR UAP1 UXS1,
266,catalytic step 2 spliceosome,ALYREF EWSR1 FBL HNRNPD HNRNPDL HNRNPF HNRNPH1 HNRNPK HNRNPR ILF3 RBMXL2 SYNCRIP ZMYM4,
449,catalytic step 2 spliceosome,BBIP1 C19orf25 C9orf78 CCDC174 CCDC43 CDC26 CLTA CLTB CWC15 CWC27 DNAJC17 DNAJC2 DNAJC21 DNAJC8 EAPP FRG1 GFER KIAA1143 PRKRIP1 RPP21 SELENOS SEM1 SLU7 SMNDC1 SVBP SVIP SYF2 TAF7 XPA YJU2 ZNRD2,
230,cell adhesion mediator activity,BSG CADM3 CADM4 CD276 CD47 CD6 CLMP CXADR EMB EPCAM ESAM F11R FAM171A1 FAM171B FNDC4 FNDC5 GPA33 GPNMB HEPACAM ICAM4 IGSF11 IGSF23 IGSF5 IL10RB IL17RA IL17RB IL17RD ILDR1 JAM2 JAM3 LAMP5 LSR MPZ MPZL1 MPZL2 MPZL3 NCR3LG1 NECTIN1 NECTIN2 NECTIN4 NPTN PTPRH PVR RNF43 ROBO4 SCN1B SCN2B SCN3B SCN4B SGCA SIGLECL1 SPACA1 TACSTD2 THSD1 TMEM130 TMEM25 TNFRSF17 UPK2 UPK3A UPK3BL1 UPK3BL2 VSIG2 VSIG8 VSTM2L VSTM4 VSTM5 ZPBP,
143,cell differentiation in spinal cord,EGR1 EGR2 EGR3 EGR4 FEZF1 FEZF2 GATA2 GFI1 GFI1B INSM1 ISL1 ISL2 KLF1 KLF10 KLF11 KLF13 KLF14 KLF15 KLF16 KLF2 KLF3 KLF4 KLF5 KLF6 KLF7 KLF9 LHX1 LHX2 LHX3 LHX4 LHX5 LHX6 LHX8 LHX9 LMX1A LMX1B MAZ NR4A1 NR4A2 NR4A3 OSR1 OSR2 OVOL1 OVOL2 PRDM12 SCRT1 SCRT2 SNAI1 SNAI2 SNAI3 SP5 SP6 SP7 WT1 ZFP42 ZIC1 ZIC2 ZIC4 ZIC5 ZNF367,
389,cell junction maintenance,ABLIM1 ABLIM2 ABLIM3 AFDN AGAP1 AGAP3 ARHGAP21 ARHGAP23 AXIN1 BMPR2 C1orf87 C2CD3 C3orf20 CACNB2 CAMSAP1 CAMSAP2 CASKIN1 CASKIN2 CCDC61 CCDC85A CFAP61 CFAP70 CLASP1 CLASP2 CTNND1 CTNND2 CUX2 DAAM1 DAAM2 DAB2IP DIAPH1 DIAPH3 DLC1 DLG1 DLG2 DLGAP1 DLGAP2 DLGAP3 DLGAP4 EFCAB6 EHBP1 ERBIN ERICH6 ERICH6B EVI5 EVI5L FAM13A FAM227A FAM227B FCHO1 FHOD1 FHOD3 FMNL1 FMNL2 FRMD4A FRMD4B GRID2IP GRIP1 INF2 IQCH KAZN KIAA1217 KIF1A LIMCH1 LMNTD1 LMO7 LRRC63 MAGI1 MAGI2 MAGI3 MAP3K10 MAP3K11 MAP3K12 MAP3K13 MAP3K21 MAP3K4 MAP3K9 MAST1 MAST2 MAST3 MAST4 MICAL2 MICAL3 MPDZ MTSS1 NAV2 NAV3 NPAS3 PARD3 PARD3B PATJ PDZRN3 PDZRN4 PKP1 PKP2 PKP3 PKP4 PLEKHA5 PLEKHA6 PLEKHA7 PLEKHG3 PPP1R13B PPP1R9A PRICKLE1 PRICKLE2 PTPN13 RABGAP1L RAPGEF2 RAPH1 RASAL2 RGS22 RIMBP2 RIMS1 RIMS2 SH3PXD2A SHANK2 SHANK3 SIPA1L1 SIPA1L2 SIPA1L3 SORBS1 SORBS2 SPATA6L SPATS2 SRCIN1 STARD13 STIM1 SYNGAP1 TIAM1 TIAM2 TJP1 TJP2 TNK2 TP53BP2 VWA3A VWA3B WWC1 WWC2 XRRA1,
337,cellular response to interferon-beta,AIM2 ATL2 ATL3 BBS1 CLUH DELE1 DET1 FAM178B FKBP6 GPCPD1 HGH1 HSPBP1 IFI16 IFRD1 IFRD2 IRAK2 IRAK3 KLHDC1 LRPPRC MFN2 MNDA MORN1 MORN2 MORN3 MORN4 MORN5 MOV10L1 MTREX NOL11 OPA1 PARP6 PDCD4 PYHIN1 RSPH1 SCFD2 STXBP1 STXBP2 STXBP3 TCAIM TDRD9 TMEM102 VPS33A VPS33B VPS45,
94,cellular response to virus,C20orf204 CLCF1 CNTF CSF2 CSF3 CSH1 CSH2 CSHL1 CYTL1 EPO FAM180A FLT3LG GH1 GH2 IFNA1 IFNA10 IFNA13 IFNA14 IFNA16 IFNA17 IFNA2 IFNA21 IFNA4 IFNA5 IFNA6 IFNA7 IFNA8 IFNB1 IFNE IFNG IFNK IFNL1 IFNL2 IFNL3 IFNL4 IFNW1 IL10 IL11 IL12A IL13 IL19 IL2 IL20 IL21 IL22 IL23A IL24 IL26 IL27 IL3 IL31 IL4 IL5 IL6 IL7 IL9 LEP LIF OSM PRL,
259,centriole-centriole cohesion,ANKRD24 ANKRD35 CCDC150 CCDC158 CCDC171 CCDC18 CCDC186 CCDC30 CCDC88C CDK5RAP2 CENPE CENPF CEP112 CEP128 CEP135 CEP152 CEP290 CEP55 CEP63 CEP83 CNTLN CNTRL CROCC CROCC2 DEUP1 EEA1 FAM184A FHAD1 GCC2 GOLGA1 GOLGA2 GOLGA4 GOLGB1 HMMR KIF15 KIF20B KTN1 LEKR1 LRRCC1 NIN NINL NUMA1 ODF2 ODF2L PCNT PDE4DIP PIBF1 PMFBP1 RAI14 RRBP1 SCLT1 SDCCAG8 SPDL1 SYCP1 TPR TRIP11 TSGA10 UACA,
77,chaperonin-containing T-complex,CCT2 CCT3 CCT4 CCT5 CCT6A CCT6B CCT7 CCT8 HSPD1 TCP1,
36,chemokine activity,CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL2 CCL20 CCL21 CCL22 CCL23 CCL24 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL4L2 CCL5 CCL7 CCL8 CXCL1 CXCL10 CXCL11 CXCL12 CXCL13 CXCL14 CXCL2 CXCL3 CXCL5 CXCL6 CXCL8 CXCL9 GNLY PF4 PF4V1 PPBP XCL1 XCL2,
187,chemorepellent activity,ADAM10 ANTXR1 ANTXR2 APP CACHD1 CACNA2D2 CLCA1 CLCA2 CLCA4 CREG2 DPP4 EFNA4 ENG F5 FAP FKBP7 FKBP9 HHIPL2 IMPG1 IMPG2 ITGAV LRP11 MBTPS1 NPR3 OOSP1 OOSP2 OOSP3 OOSP4A OOSP4B OVGP1 PAM PLD5 SEMA3A SEMA3B SEMA3C SEMA3E SEMA3F SEMA3G SEMA4A SEMA4B SEMA4C SEMA4D SEMA4F SEMA4G SEMA6B SEMA6C SEMA7A SEZ6 SEZ6L2 TECTB TGFBR3 TM2D1 TM2D2 TM2D3 UMODL1 VWA2 ZP1 ZP2 ZP3 ZP4 ZPLD1,
96,chylomicron,ANGPTL8 APOA1 APOA2 APOA4 APOA5 APOC1 APOC2 APOC3 APOE C3orf85 C5orf46 DCD FAM180B GUCA2A GUCA2B IL15 IL34 KITLG KRTDAP LACRT MUCL1 PLAC9 PRAP1 SCGB1A1 SCGB1C1 SCGB1C2 SCGB1D1 SCGB1D2 SCGB1D4 SCGB2A1 SCGB2A2 SCGB2B2 SCGB3A1 SCGB3A2 SFTA2 SMCO4,
250,ciliary transition zone,AK7 AMOTL1 CC2D2A CFAP221 CTTNBP2NL EFCC1 GOPC IQCK MAP7 MYCBPAP NPHP1 RPGRIP1 RSPH4A SPATA7 TAOK2 TMCC1 TMCC2 TSPOAP1,
362,ciliary transition zone,AHI1 ARHGAP39 DCAF6 EFCAB13 FBXW10 POC5 PSD4 SPATA1 TTLL5 WHRN,
426,clathrin adaptor complex,ADAT1 AEN AP1M2 AP2M1 AP4M1 CLIC1 COPS6 DDX47 EIF3B ETNK1 FAXC ILF2 MTX3 NAA50 NOC4L PDCD2L POLR1E PSMD4 RO60 TEX47 TRMT6 VPS26A YOD1,
217,collagen catabolic process,AEBP1 AFM AFP ALB APCDD1 BCAN CCDC3 CNMD CTSO ENDOU FETUB GC HAPLN4 HPX HTRA1 HTRA4 ISM1 ISM2 IZUMO1 IZUMO2 IZUMO3 IZUMO4 KAZALD1 LDLRAD2 LRRN4CL MMP1 MMP10 MMP11 MMP12 MMP13 MMP14 MMP15 MMP16 MMP17 MMP19 MMP2 MMP20 MMP21 MMP23B MMP24 MMP25 MMP26 MMP27 MMP28 MMP3 MMP7 MMP8 MMP9 SOD3 SPACA6 SPON2 TEX51 TMEM95 VTN,
91,collagen trimer,C1QTNF9 C1QTNF9B COL10A1 COL11A1 COL11A2 COL13A1 COL15A1 COL16A1 COL17A1 COL18A1 COL19A1 COL1A1 COL1A2 COL21A1 COL22A1 COL23A1 COL24A1 COL25A1 COL26A1 COL27A1 COL28A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL5A1 COL5A2 COL5A3 COL6A1 COL6A2 COL7A1 COL8A1 COL8A2 COL9A1 COL9A2 COL9A3 COLQ ELN EMID1 MARCO OTOL1 SFTPD,
93,collagen trimer,ADIPOQ C1QA C1QB C1QC C1QL1 C1QL2 C1QL3 C1QL4 C1QTNF1 C1QTNF12 C1QTNF2 C1QTNF3 C1QTNF4 C1QTNF5 C1QTNF6 C1QTNF7 C1QTNF8 CBLN1 CBLN2 CBLN3 CBLN4 CD70 COLEC10 COLEC11 COLEC12 CTHRC1 FASLG FCN1 FCN2 FCN3 GLDN LTA LTB MBL2 MSR1 SCARA3 SCARA5 SFTPA1 SFTPA2 TNF TNFSF10 TNFSF11 TNFSF12 TNFSF13 TNFSF13B TNFSF14 TNFSF15 TNFSF18 TNFSF4 TNFSF8 TNFSF9,
63,complement activation,APOH C4BPA C4BPB CD46 CD55 CFH CFHR1 CFHR2 CFHR3 CFHR4 CFHR5 CR1L CR2 F13B SELE SELP,
248,condensed nuclear chromosome,CCDC88A RAD50 ROCK1 SMC1B SMC2 SMC3 SMC4 SMC5 SMC6 TAX1BP1,
128,connexin complex,AMFR CALHM1 CALHM2 CALHM3 CALHM4 CALHM5 CALHM6 DCSTAMP FAM8A1 GJA1 GJA10 GJA4 GJA5 GJA8 GJA9 GJB2 GJB3 GJB4 GJB5 GJB6 GJB7 GJC1 GJC2 GJC3 GJD2 GJD3 GJD4 MPV17 MPV17L2 ORAI1 ORAI2 ORAI3 PANX1 PEX10 PEX11A PEX11B PEX11G PEX12 PEX16 PEX2 RHBDD1 RNF170 RTP1 RTP2 RTP3 RTP4 STUM TMEM199 TMEM240 TMEM88 UBAC2 VANGL1 VANGL2 ZDHHC23,
454,core mediator complex,BAG2 C4orf46 CDKN2AIPNL CINP GID8 HAUS2 IQCA1 KTI12 MED30 MED4 MED7 PSMD9 TBCC,
102,cortical actin cytoskeleton,ACTN1 ACTN2 ACTN3 ACTN4 DSP EVPL PPL SPTA1 SPTAN1 SPTB SPTBN1 SPTBN2 SPTBN4 SPTBN5 TRIO,
221,cuprous ion binding,ADIRF C4orf3 CLEC2L FAM241B FAM25A FAM25C FAM25G HMGA1 HMGA2 HMGN1 HMGN4 KLRG2 MANBAL PLIN1 PLIN2 PLIN3 PLIN5 SMKR1 SNCA SNCB SNCG TMEM263 TMEM40 TMUB2 TOMM6,
44,cyclase activator activity,AIF1 AIF1L CABP1 CABP2 CABP4 CABP5 CABP7 CALB1 CALB2 CALM1 CALM2 CALM3 CALML3 CALML4 CALML5 CALML6 CALN1 CAPSL CETN1 CETN3 CHP1 CHP2 CIB1 CIB2 CIB3 CIB4 EFCAB11 EFCAB9 EFHD1 EFHD2 GUCA1A GUCA1B GUCA1C HPCA HPCAL1 HPCAL4 KCNIP1 KCNIP2 KCNIP3 KCNIP4 MICU1 MYL1 MYL10 MYL12A MYL12B MYL2 MYL3 MYL4 MYL5 MYL6 MYL6B MYL7 MYL9 MYLPF NCALD NCS1 OCM OCM2 PPP2R3C PPP3R1 PPP3R2 PVALB PVALEF RCVRN SCGN TESC TNNC1 TNNC2 VSNL1,
81,cyclin-dependent protein serine/threonine kinase inhibitor activity,ANKDD1A ANKDD1B ANKFY1 ANKK1 ANKRA2 ANKRD16 ANKRD22 ANKRD27 ANKRD28 ANKRD29 ANKRD37 ANKRD39 ANKRD42 ANKRD44 ANKRD46 ANKRD49 ANKRD52 ANKRD55 ANKRD61 ANKRD65 ASB1 ASB10 ASB13 ASB14 ASB15 ASB16 ASB18 ASB2 ASB3 ASB4 ASB5 ASB6 ASB7 ASB8 BCL3 CDKN2A CDKN2B CDKN2C CDKN2D FANK1 ILK INVS MTPN NFKBIA NFKBIB NFKBID NFKBIE NFKBIZ NRARP PLA2G6 PPP1R27 RFXANK RIPK4 TNKS,
450,cyclin-dependent protein serine/threonine kinase regulator activity,ALKBH6 ARMC7 ASZ1 BIRC5 BTBD10 CACUL1 CARM1 CCND1 CCND2 CCND3 CCNG1 CCNG2 CCNI CCNI2 CCNJ CCNJL CCNO CDC73 CENPO CFAP300 CNTD1 DUSP11 DYNC1LI2 EIF4E1B FAM114A2 FAM221A GIPC2 GIPC3 GOLPH3 GOLPH3L HAUS3 HORMAD1 HORMAD2 KCNRG KCTD1 KCTD10 KCTD11 KCTD12 KCTD13 KCTD14 KCTD15 KCTD17 KCTD20 KCTD21 KCTD4 KCTD5 KCTD6 KCTD7 KCTD8 KIAA0513 LIX1 MAB21L1 MINDY1 NECAB1 NECAB2 NECAB3 NMT2 NSFL1C PAIP1 PCMTD2 PEX19 PHYHIPL PSMF1 RIOK3 RNASEH2B RNF41 RSPH9 SAMD12 SAMD13 SBK3 SGTA SGTB SHCBP1 SLX1A SLX1B SPATA16 SPC24 SPDYA SSUH2 SUPT7L SUV39H2 TBCB TCF25 TENT5B TMED8 TNFAIP1 TTC33 UBE2Q1 UBE2Q2 UBXN2A UBXN2B ZC3HAV1L ZMYND19 ZNHIT6,
74,cysteine-type deubiquitinase activity,DYTN ERV3-1 ERVFRD-1 ERVMER34-1 ERVV-1 ERVV-2 ERVW-1 KDM4E RECQL5 USP17L1 USP17L10 USP17L11 USP17L12 USP17L13 USP17L15 USP17L17 USP17L18 USP17L19 USP17L2 USP17L20 USP17L21 USP17L22 USP17L23 USP17L24 USP17L25 USP17L26 USP17L27 USP17L28 USP17L29 USP17L3 USP17L30 USP17L4 USP17L5 USP17L7 USP17L8 USP18 USP50,
400,cysteine-type deubiquitinase activity,ADAP1 CCDC138 CCM2 DLG4 KIF2A MPP2 OGA PIP5K1A PIP5K1B PLEKHJ1 PPIP5K1 PRMT2 PTPN1 PTPN9 RABGEF1 RAD54L2 SBNO1 SEC14L5 SYN2 TPRG1 USP28 USP33 USP35 USP48,
216,cysteine-type endopeptidase activity,C16orf89 CBLIF CTSB CTSC CTSF CTSH CTSK CTSL CTSS CTSZ LOXL1 NDNF TCN1 WSCD1,
49,cysteine-type endopeptidase inhibitor activity,AMBP APOD APOM C8G CAMP CST1 CST11 CST2 CST3 CST4 CST5 CST6 CST7 CST8 CST9L CSTL1 GKN1 GKN2 LCN1 LCN10 LCN12 LCN15 LCN2 LCN6 LCN8 LCN9 LCNL1 OBP2A OBP2B ORM1 ORM2 PAEP PIP PTGDS RARRES2 RBP4,
67,cytidine deaminase activity,AICDA APOBEC1 APOBEC2 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOBEC3H,
231,cytokine receptor activity,IL1R1 IL1RAP IL1RL1 IL1RL2 IL6ST LEPR LIFR OSMR SIGIRR,
232,cytokine receptor activity,IFNAR1 IFNGR1 IL12B IL12RB2 IL18R1 IL18RAP IL20RB IL22RA2 IL23R IL31RA IL7R,
233,cytokine receptor activity,AMHR2 CSF2RB CSF3R EBI3 EFNB2 EPOR F3 GHR IFNAR2 IFNGR2 IFNLR1 IL10RA IL12RB1 IL1R2 IL20RA IL21R IL22RA1 IL27RA IL2RB IL4R IL5RA IL6R MPL NECTIN3 PRLR SGCE,
283,cytolysis in another organism,CARD8 DNAJC3 GBP1 GBP2 GBP3 GBP4 GBP5 GBP6 GBP7 GIMAP1 GIMAP2 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GPC2 GSDMD MX1 NOX3 NUGGC WFS1,
