cluster_id,GO_hit,gene_symbols,annotated_label
200,No significant GO enrichment,OR1N2 OR1L8 OR1I1 OR1G1 OR1A2 OR1L4 OR2A4 OR7E24 OR8B2 OR8B3 OR7C1 OR1S2 OR7C2 OR1J4 OR1E2 OR1F1 OR8G1 OR1J2 OR1D5 OR7D4 OR1A1 OR1N1 OR1J1 OR10AG1 OR7A10 OR7A5 OR7A17 OR7G1 OR1L6 OR1E1 OR1D2 OR1S1 OR7G2 OR1M1 OR1L1 OR8B12 OR7G3 OR3A2 OR8B4 OR7D2,
94,No significant GO enrichment,OR4C6 OR4K5 OR6K3 OR4D6 OR4F21 OR4A5 OR4F6 OR4K17 OR14K1 OR4B1 OR4C45 OR4D1 OR4D10 OR4N4 OR4F16 OR4M1 OR4C11 OR4E1 OR4F4 OR4K1 OR4N5 OR4C12 OR4D11 OR4F17 OR4X1 OR4M2 OR4S2 OR14A16 OR4D5 OR4L1 OR14A2 OR4S1 OR4K14 OR4F29 OR4F15 OR4D2 OR4C3 OR4N2 OR4X2 OR4C5 OR4A16 OR4Q3 OR4K13 OR4F3 OR4C15 OR14C36 OR4A47 OR6K6 OR4C16 OR4C13 OR4K15 OR4P4 OR4Q2 OR4A15 OR14I1 OR4C46 OR4F5 OR4E2,
21,No significant GO enrichment,IGLV1-36 IGKV1-27 IGLV2-23 IGKV1D-39 IGKV1-12 IGLV3-22 IGLV5-52 IGKV1D-16 IGLV7-46 IGKV2-24 IGKV1D-13 IGLV1-50 IGKV1D-12 IGLV1-47 IGLV2-18 IGLV3-21 IGKV2D-30 IGKV1-33 IGLV3-9 IGKV4-1 IGKV3D-11 IGKV5-2 IGKV1-5 IGLV3-27 IGKV6D-41 IGLV5-48 IGKV1-6 IGKV3-7 IGKV3-11 IGKV2-40 IGLV4-3 IGKV1-8 IGKV1D-37 IGKV1D-42 IGLV2-8 IGKV1-17 IGKV1-9 IGLV7-43 IGKV1D-43 IGKV2D-26 IGLV6-57 IGLV10-54 VPREB3 IGKV2D-29 IGLV4-69 IGLV1-51 IGKV3D-20 IGLV5-37 IGLV3-10 IGKV3-20 IGLV4-60 IGLV3-32 IGLV3-12 IGKV3D-15 IGKV1D-33 IGKV2D-28 IGLV1-44 IGKV1-37 IGKV3D-7 IGLV3-25 IGLV5-45 IGLV2-14 IGKV2D-24 IGKV1D-17 IGKV1D-8 IGLV9-49 IGLV11-55 IGLV2-11 IGLV3-16 IGKV1-16 IGKV2-28 IGLV2-33 IGKV2-30 VPREB1 IGKV1-39 IGKV3-15 IGKV6-21 IGKV2D-40 IGKV6D-21 IGLV3-1 IGLV8-61 IGLV3-19 IGLV1-40,
146,No significant GO enrichment,ZBTB34 ZBTB16 ZNF280B BCL6 KIAA1958 ZBTB2 ZNF654 ZBTB25 HIC2 ZBTB21 ZBTB14 HIC1 ZBTB39 PATZ1 ZNF800 ZBTB10 ZBTB46 ZBTB9 ZBTB44 ZBTB7A ZBTB49 ZBTB5 ZBTB12 MYNN BACH2 ZBTB18 ZNF280A ZBTB8A ZBTB3 ZBTB1 ZNF653 NACC2 ZBTB26 ZBTB43 ZNF770 ZBTB41 ZBTB22 IKZF5 ZBTB38 ZBTB47 ZBTB7B ZBTB45 MSL2 GZF1 ZBTB6 ZBTB42 ZNF507 NACC1,
295,No significant GO enrichment,TPRX1 SEBOX C19orf85 HOXA2 DUXB C1orf127 MESP2 CPHXL DUX4 NOBOX SOHLH1 LEUTX DMRTB1 PAX4 DMRTC2 DPRX ANHX DUXA NANOGP8 ARGFX BATF2 HESX1 NANOG POU5F2 PROP1 SAMD7,
5,No significant GO enrichment,C4orf36 MYOCOS POM121L12 AVPI1 SERF1B POMZP3 C3orf22 VXN SWI5 C12orf76 GVQW3 KRTAP20-4 FOXL2NB C6orf223 HMSD CIART CLBA1 C16orf95 C8orf86 PANO1 FAM218A TEX53 EBLN2 PRAC2 RESP18 STH C19orf73 C5orf67 FAM220A FAM229A BLCAP FAM237A TP53TG3C C10orf143 C20orf202 BLID HILPDA PBOV1 KLLN TP53TG3F SMIM2 TP53AIP1 SPATA12 SMIM21 TEX49 TP53TG3B ZNF365 RFLNA NREP NNAT IGIP C5orf63 KAAG1 HRK LLCFC1 SRARP TP53TG5 DIRC1 C7orf33 TEX22 C20orf173 ARIH2OS C5orf38 FAM229B CCDC163 FTCDNL1 C14orf178 C12orf42 MYEOV FANCD2OS TP53TG3D PMAIP1 C7orf77 CT62 PSORS1C1 HEPN1 C17orf100 C3orf62 CCDC179 FAM240C ARMS2 FAM120AOS CCDC140 C17orf98 C10orf55 C11orf71 DCANP1 TP53TG3 TP53TG3E CEMP1 C9orf92 C16orf46 SPATA3 AKIP1 C20orf203 PRAC1 PXT1 C11orf21 P3R3URF TEX36,
116,No significant GO enrichment,ZNF516 ZNF423 ZNF532 SALL2 ADNP2 TSHZ3 ZNF541 ZNF687 PRDM16 RREB1 ZNF521 POGZ ZNF592 ZBTB4 SALL1 TRPS1 ZHX3 TSHZ1 ZNF438 ZNF512B CASZ1 ZNF827 ZEB2 ADNP SALL3 ZNF536 ZNF385D ZHX2 ZHX1 ZNF217 BCL11A BNC1 GLIS2 GLI1 MECOM IKZF1 HOMEZ ZNF395 CUX2 ZFHX2 IKZF3 ZNF385C IKZF4 SALL4 ZBTB7C ZNF462 ZNF385B IKZF2 ZNF385A WIZ BCL11B TSHZ2 ZFPM2,
365,No significant GO enrichment,KLHDC8B RCC1 RCCD1 KLHDC9 RCBTB2 KLHDC8A TASP1 SERGEF RCC1L NHLRC4 RABEPK RCBTB1 KDM1A NEU3 TOMM40 MBLAC1 NEU2 RCC2,
83,No significant GO enrichment,ZKSCAN1 ZNF496 ZSCAN5A SCAND1 ZNF165 ZNF202 ZNF174 ZNF263 ZNF589 ZKSCAN4 ZNF274 ZSCAN29 ZNF213 ZNF597 ZSCAN23 ZSCAN26 ZSCAN4 ZSCAN32 ZSCAN16 ZNF747 ZNF444 ZNF641 ZNF398 ZSCAN12 PGBD1 ZSCAN1 ZNF446 ZNF75A ZNF215 ZNF394 ZKSCAN7 ZNF500 ZNF200 ZSCAN20 ZKSCAN8 ZSCAN25 ZSCAN5C ZNF688 ZKSCAN3 ZNF232 ZSCAN18 ZKSCAN2 ZNF783 ZSCAN5B ZIM2 ZNF18 ZKSCAN5 ZNF397 ZSCAN30 ZNF282 ZSCAN22 ZSCAN31 MZF1 ZSCAN21 ZNF24 ZNF212 ZNF746 ZSCAN9 ZNF396,
231,No significant GO enrichment,ZNF30 ZFP14 ZNF583 ZNF345 ZNF571 ZNF594 ZNF420 ZNF790 ZNF565 ZNF471 ZNF568 ZNF607 ZNF667 ZNF540 ZNF570 ZNF780B ZNF529 ZNF566 ZNF850 ZNF461 ZNF404 ZNF582 ZNF302 ZNF146 ZNF283 ZNF569 ZFP30 ZNF573 ZNF780A ZNF470 ZNF383 ZNF260 ZFP82 ZNF331 ZNF546 ZNF140,
183,No significant GO enrichment,PHF21B TOX RNF165 SATB1 RFX1 BMP2K PHC1 UBALD2 TSC22D2 FOXP4 CREB5 CCDC200 POU6F2 PAXIP1 TSC22D1 ZNF853 FOXP2 ATXN1 GTF2A1 PHC2 QRICH1 RNF38 TRIM66 MED15 UBALD1 POU2F2 CIZ1 TCERG1L TAB2 PHF21A RFX3 FOXP1 QSER1 TRERF1 TRIM33 BRD4 WWTR1 PHLDA1 TBP TOX3 RNF111 TRIM24,
387,No significant GO enrichment,FAM78A FAM78B DCAF16 ARPIN OMP SHLD3 C19orf81 TINCR FBXO48 FNDC11 REP15 TCL1A LKAAEAR1 EBLN1 SMCO1 TCL1B,
55,No significant GO enrichment,ZNF879 ZNF17 ZNF586 ZNF774 ZNF587B ZNF772 ZNF16 ZNF256 ZNF135 ZNF671 ZNF329 ZNF814 ZNF548 ZNF660 ZNF549 ZNF792 ZNF552 ZNF189 ZNF543 ZNF418 ZNF501 ZNF419 ZNF805 ZNF264 ZNF79 ZNF587 ZNF70 ZNF3 ZNF211 ZNF304 ZNF473 ZNF530 ZNF417 ZNF391 ZNF551 ZFP3 ZNF132 ZNF71 ZNF460 ZNF250 ZNF134 ZNF547 ZNF599 ZNF34 ZNF184 ZNF32 ZNF19 ZNF251 ZNF623 ZNF584 ZNF619 ZNF773 ZNF436 ZNF502 ZNF23 ZNF35 ZNF664 ZIK1 ZNF749 ZNF454 ZNF154 ZNF416 ZFP2 ZNF485 ZNF7 ZNF852 ZNF776 ZSCAN2,
86,No significant GO enrichment,ZNF764 ZNF408 ZFP41 ZNF777 ZNF524 ZNF526 REPIN1 ZNF639 ZNF696 ZNF574 ZNF358 ZNF467 ZNF316 ZNF219 GLI4 ZNF497 ZNF771 ZNF784 ZBTB32 ZNF787 ZNF580 PRDM12 ZNF414 ZNF697 ZNF837 ZNF319 ZNF74 ZNF628 ZNF691 ZFPM1 ZNF629 ZNF324 ZFP57 ZNF672 ZNF835 ZNF689 ZNF324B ZNF843 ZSCAN10 ZNF707 ZNF579 ZNF785 ZNF572 ZNF768 INSM2 ZNF668 ZNF775 ZNF648 ZNF865 ZNF205 ZNF575 ZNF8 ZNF517 ZNF576 ZNF48 ZNF513 FIZ1 ZNF646,
290,No significant GO enrichment,INAFM1 RNF223 C2CD4C FAM110D C2CD4A C2CD4B RNF208 ARTN TGFBR3L PHETA2 PIANP TMEM200B C2CD4D C20orf144 AMER2 PRR18 FBXL22 PPP1R3D RFLNB C10orf95 CCDC71L ASPHD1 CBY3 CCSAP RNF225 EPOP FAM110C,
85,No significant GO enrichment,NEFH CAST MAP4 C1orf232 MAP6 CCDC8 TNKS1BP1 APOBR AKAP12 FSCB PRAM1 SMTNL1 ERICH5 GAP43 HDGFL1 CYLC2 SAMD15 GPRIN1 NEFM SH3D21 AKAP5 GPR179 TSBP1 PALM3 BASP1 ERICH3 CAVIN2 RP1L1 LSP1 LAD1 MAP1A MARCKS PRX MDC1 EHBP1L1 ARHGAP30 FAM114A1 BNIP5 PPP1R18 C13orf46 MGARP MARCKSL1 CABYR CLIC6 TXNDC2 BCAS1 PERM1 ARHGEF35 NES ERMN NACAD PPP1R15A PNMA8B LMOD1 LRRFIP1 TRDN HEMGN RCSD1,
110,No significant GO enrichment,ZNF90 ZNF721 ZNF718 ZNF429 ZNF680 ZNF724 ZNF98 ZNF99 ZNF678 ZNF727 ZNF682 ZNF736 ZNF195 ZNF486 ZNF708 ZNF714 ZNF107 ZNF506 ZNF253 ZNF595 ZNF92 ZNF675 ZNF43 ZNF728 ZNF735 ZNF208 ZNF254 ZNF679 ZNF738 ZNF479 ZNF492 ZNF695 ZNF525 ZNF723 ZNF626 ZNF681 ZNF730 ZNF493 ZNF117 ZNF66 ZNF676 ZNF273 ZNF91 ZNF716 ZNF732 ZNF726 ZNF257 ZNF85 ZNF430 ZNF100 ZNF729 ZNF737 ZNF93 ZNF519 ZNF138,
127,No significant GO enrichment,OR5AK2 OR5T2 OR8J3 OR5D14 OR5T3 OR8D2 OR5AR1 OR8H2 OR2T4 OR5W2 OR5L1 OR9I1 OR5K4 OR2T34 OR5H15 OR8A1 OR8H3 OR5M3 OR8U1 OR5P2 OR5M10 OR5AC2 OR8K5 OR5B17 OR5D16 OR9G4 OR5D18 OR5B3 OR8I2 OR5D13 OR5B12 OR8K1 OR5AP2 OR5J2 OR5L2 OR5K3 OR5H2 OR5V1 OR5H6 OR5M11 OR5B21 OR5T1 OR5K2 OR5I1 OR2T3 OR5M8 OR8J1 OR5P3 OR8G5 OR8K3 OR5F1,
222,No significant GO enrichment,ZNF649 ZNF2 ZNF705D ZNF705G ZNF705B ZIM3 ZNF80 ZNF684 ZNF793 ZNF766 ZFP1 ZNF554 ZNF557 ZNF333 ZNF558 ZNF713 ZFP69 ZNF561 ZNF550 ZNF621 ZNF177 ZNF662 ZNF829 KRBOX1 ZNF705A ZNF487 ZNF620 ZNF789 ZFP69B ZNF514 ZNF230 ZNF350 ZNF114 ZNF577 ZNF22 ZNF286A ZNF317,
248,No significant GO enrichment,GAREM2 ATAT1 DACT3 BEGAIN FAM43B GAS2L1 ANKRD34A ZC3H12D ESPNL DUSP8 ANKRD63 PHETA1 FRS3 TESK1 SH2D5 SPATA2 SPATA2L FAM83G ANKRD34C SNPH SOWAHA INAVA ZC3H12A FAM83H TBKBP1 SPRED3 NEU4 FAM124A SOWAHC AHRR USH1G FAM83C DOK7,
394,No significant GO enrichment,C2orf80 NRBF2 LYSMD3 C3orf38 RCAN3 ASDURF C2orf49 LYSMD1 ZCWPW2 TERB2 DNAJC12 ABRAXAS2 RBM11 RBM18 RBM48,
356,No significant GO enrichment,PIH1D2 LY96 ARMH2 TEX47 C3orf49 OOSP1 EDDM3A PLET1 C10orf53 CAPZA3 ASB17 GLYATL3 OOSP3 OOSP2 MEIOB OOSP4B C21orf62 OOSP4A ZPBP2,
346,No significant GO enrichment,PCSK9 SEZ6L2 PRSS56 TP53I13 SEZ6 WFIKKN1 APCDD1L LRP3 AMN KREMEN2 MFRP NTN5 CHRD SUSD2 NTN3 GFRA4 CILP2 DLL3 ADAMTSL5 MAMDC4,
415,No significant GO enrichment,RAB3IP TMCC2 CCDC92 TMCC1 HMG20A MFF NOS1AP SYBU RAB3IL1 NUP35 HMG20B TMCC3,
283,No significant GO enrichment,UBE3D INTS14 AAR2 C5orf34 TBCCD1 C8orf76 MKS1 PHYHIP RPP40 M1AP TADA1 CENPL METTL4 THOC5 MSS51 C2orf42 ASTE1 NAA60 DONSON NHEJ1 PARP16 FBXO7 NUDCD1 MTRR PRUNE1 SHQ1 POLR3E,
328,No significant GO enrichment,EFHC1 MORN1 MORN3 DPCD CFAP299 IFT43 RSPH10B PDE6D TIPRL SETD7 MORN4 B9D2 RSPH9 RSPH1 MORN5 OSCP1 B9D1 DNAAF1 MORN2 CFAP300 RSPH10B2,
367,No significant GO enrichment,PHYHIPL CYB5D2 TSEN15 MEDAG RD3L ANKRD40CL FIBP ANAPC16 CUEDC2 CEP19 THRSP PSMG4 C17orf75 CDKN2AIPNL MREG TIMM29 MED20 CCDC134,
318,No significant GO enrichment,NT5DC1 ACP6 NTPCR STN1 UROS RAD51D QTRT2 CYBC1 UMPS ENOPH1 XRCC2 DCK ENDOV APTX SNAP47 AZIN2 ADAL TIGAR ADAT2 TPK1 ADPGK ELP6 NANP,
323,No significant GO enrichment,PRADC1 HAGH SURF1 HINT2 FDX2 DNAJC30 DNAJC4 NME4 C6orf136 SCO2 TMEM160 ARHGDIG PNKD DNLZ YBEY OXLD1 MPG BOLA1 DUSP26 NDUFAF3 PTS SIRT3,
270,No significant GO enrichment,KRTAP13-3 KRTAP8-1 KRTAP22-2 KRTAP27-1 KRTAP19-1 KRTAP22-1 KRTAP20-2 KRTAP19-3 KRTAP19-5 KRTAP20-3 KRTAP21-3 KRTAP21-2 KRTAP6-1 KRTAP23-1 KRTAP20-1 KRTAP21-1 KRTAP19-6 KRTAP13-4 KRTAP6-2 KRTAP13-1 KRTAP19-2 KRTAP19-8 KRTAP15-1 KRTAP25-1 KRTAP13-2 KRTAP6-3 KRTAP19-4 KRTAP19-7 KRTAP7-1,
366,No significant GO enrichment,DCDC2B PRR29 CCDC78 UBXN11 SMPD2 SPEF1 CCDC17 C22orf15 CBY1 ENKD1 RAB36 OCEL1 CCDC74B CCDC74A CCDC169 C8orf34 ZMYND10 DNAAF3,
214,No significant GO enrichment,NOP9 ITPRIPL2 TICAM1 CARNS1 ARMC5 FBXL8 SLFNL1 LIPE AP5B1 PEAK3 TMEM102 NKPD1 ZMYND15 TOR4A ATXN1L SPHK2 MIEF1 PRRT4 MON1B SBK3 PGLYRP2 ANKLE1 MIEF2 IRGQ MAB21L3 INPP5J PRRT3 FIGNL2 ITPRIP NCDN TUT1 MAB21L4 KLHDC7B CCDC103 PARP10 INTS5 HPS6 KHNYN RINL,
229,No significant GO enrichment,TRANK1 CUL7 ACACB ZZEF1 CUL9 ZFYVE26 NBEAL2 HELZ2 GCN1 POLE SPG11 KIAA0100 CFAP46 LRRK2 WDFY4 FASN DOP1B MYO15B URB1 INTS1 UHRF1BP1 GTF3C1 SBF1 TEP1 MCM3AP GREB1L UTP20 ITPR3 CAD NUP205 WDR81 DOCK6 MYO15A GREB1 ATG2A ESPL1 CABIN1,
454,No significant GO enrichment,MAB21L1 FBXO32 CDK5R1 LIX1 RAG2 RO60 MAB21L2,
277,No significant GO enrichment,GTPBP10 CRPPA EEF1AKMT2 PDSS2 AK3 RTN4IP1 RNLS MTFMT SIRT5 METTL15 MMAA LYPLAL1 AK4 PDSS1 NDUFAF7 CLYBL NUBPL DAP3 ATG10 OXNAD1 MTG2 WARS2 DTWD2 BPHL ECHDC3 AFG1L MOCS1 L2HGDH,
294,No significant GO enrichment,COPRS ZNF428 CCDC184 PAGR1 C17orf50 ANAPC13 BIK SNAPC5 GON7 PAIP2B ATXN7L3B ERICH4 CCDC32 MTURN FEZ1 FAM177B SEM1 PABPN1L PPP1R11 PAIP2 TEX19 MEA1 COPS9 CAMK2N1 EID1 PPP1R2B,
166,No significant GO enrichment,C16orf82 C10orf62 TAF1D TSACC C8orf89 EDARADD TEX48 PPP1R17 FRG2C DPEP2NB C2orf15 DDIT4L TCAP FIBIN KNCN FRG2 SPATA45 C12orf71 C1orf185 DPPA3 NANOGNB SMIM17 SPATA19 BCL2L14 FAM170B SPATA9 DAOA C9orf153 TCIM FRG2B FNDC8 FAM240A C12orf54 FOXR1 TEX44 FAM240B CCDC201 LNP1 MAJIN BCL2L15 SPATA46 CATSPERZ SSMEM1 CCDC195,
112,No significant GO enrichment,OR52A1 OR52K1 OR51G1 OR6K2 OR52L1 OR51A4 OR51I2 OR52N5 OR52H1 OR52J3 OR51B4 OR52W1 OR52N2 OR51B5 OR56A3 OR51F2 OR51E1 OR56A5 OR51E2 OR52A5 OR51G2 OR51S1 OR51M1 OR51A2 OR52E8 OR52N4 OR51L1 OR52I2 OR52E5 OR51F1 OR51A7 OR52M1 OR52E4 OR51B2 OR51I1 OR52N1 OR52B6 OR51Q1 OR52D1 OR52I1 OR51D1 OR56B4 OR51V1 OR52E6 OR51B6 OR56B1 OR52K2 OR52B2 OR56A4 OR52E2 OR56A1 OR52R1 OR52B4 OR51T1,
439,No significant GO enrichment,SFI1 IQCF3 IQCF6 C7orf61 EVC IQCF5 SMIM23 IQCF2 IQCF1 CCDC70,
205,No significant GO enrichment,OR10A2 OR10G9 OR6F1 OR6B1 OR11A1 OR10D3 OR6N2 OR5AU1 OR2T35 OR6J1 OR6A2 OR6Y1 OR10V1 OR8S1 OR10G4 OR10J3 OR12D3 OR6Q1 OR11H2 OR12D2 OR6B2 OR10S1 OR10K1 OR10K2 OR6V1 OR6P1 OR10P1 OR10W1 OR9Q1 OR10G7 OR1Q1 OR11L1 OR9Q2 OR1C1 OR10G6 OR10A4 OR13G1 OR11H1 OR11H6,
422,No significant GO enrichment,RNF130 RNF13 RNF215 RNF149 ZNRF4 LITAFD RNF150 RNF148 RNF167 RNF24 RNF133,
128,No significant GO enrichment,OR2G2 OR2V1 OR2G6 OR2J2 OR2A42 OR2A25 OR2Y1 OR11G2 OR5A1 OR2C1 OR2F1 OR10Q1 OR2AE1 OR2V2 OR2T33 OR2W3 OR2AG1 OR2T12 OR6T1 OR10H5 OR2AG2 OR10C1 OR2A2 OR13J1 OR10G3 OR1K1 OR2J1 OR10Z1 OR3A1 OR2C3 OR2A14 OR2Z1 OR2H2 OR1B1 OR3A3 OR2B11 OR2B6 OR2A5 OR5A2 OR2T2 OR6N1 OR2I1P OR10G2 OR10G8 OR10H1 OR2T8 OR2A7 OR2AT4 OR2A12 OR2H1 OR2A1,
306,No significant GO enrichment,TCP11 HEATR3 ARMC12 INSC STKLD1 RAP1GDS1 CTNNBL1 PSMD5 RIC8A TTC12 TMCO6 ATXN10 RIC8B NELFCD ARMC6 TTI2 HSF2BP DNAAF5 HSPBP1 ARMC10 NOC4L UNC45A ARMH1 ARMC7 SAAL1,
369,No significant GO enrichment,SRD5A1 NDC1 EBPL PLPP6 TMEM236 TMEM64 SRD5A3 TMEM245 C6orf89 VKORC1L1 PXMP2 BRI3BP MPV17L GGCX TMEM192 ICMT SGPP1 SEC22C,
311,No significant GO enrichment,HRCT1 TOMM5 TEX50 TMEM239 APOC4 LENEP PIGY SMIM31 MYMX TMEM250 MTLN TOMM20L SMIM38 OST4 FAM209B TMCO2 DEXI SMIM27 TEX46 SMIM13 PLN SMIM40 ADIG FAM209A,
154,No significant GO enrichment,NBPF15 NPIPA3 SPDYE2B NPIPA8 SMCO2 DRICH1 NPIPB12 NPIPB4 NPIPA5 NPIPB5 NBPF6 NBPF12 ERICH1 NPIPA2 SPDYE5 SNURF CCDC54 NBPF26 NBPF11 PRDM9 C22orf42 SPDYE6 NPIPA7 NBPF4 FLYWCH1 NPIPB9 NPIPB13 NPIPB11 NPIPB15 SPDYE4 NPIPB3 NPIPB7 NPIPB2 SPDYE16 ANTXRL FAM153A SPDYE3 SPDYE1 NBPF1 NPIPB6 NBPF14 NBPF9 SPDYE17 NPIPA1 NBPF3 NPIPB8 SPDYE2,
348,No significant GO enrichment,MEF2B FOXS1 ETV3L FOXE3 FOXD4L4 FOXD4L5 ARID5A ARID3C PRR35 FOXD4L1 ERFL TBX6 HEY2 KMT5C FEV FOXD4L3 DUSP15 FOXH1 FOXD4L6 FOXD4,
82,No significant GO enrichment,ZNF677 ZNF610 ZNF28 ZNF880 ZNF425 ZNF224 ZNF320 ZNF343 ZNF845 ZNF611 ZNF83 ZNF786 ZNF235 ZNF813 ZNF45 ZNF765 ZNF169 ZNF534 ZNF267 ZNF229 ZNF578 ZNF214 ZNF155 ZNF354A ZNF234 ZNF816 ZNF480 ZNF112 ZNF160 ZNF600 ZNF354B ZNF227 ZNF233 ZNF468 ZNF285 ZNF222 ZNF223 ZNF528 ZNF225 ZNF347 ZNF761 ZNF239 ZNF311 ZNF875 ZFP62 ZNF133 ZNF841 ZNF888 ZNF616 ZNF284 ZNF836 ZNF221 ZNF860 ZNF337 ZNF808 ZNF701 ZNF226 ZNF415 ZNF665,
148,No significant GO enrichment,PPM1N ANKRD9 BORCS6 C2orf72 TMEM229A TMEM238 TRNP1 DUSP28 PDXP PPP1R3G BLOC1S3 BLOC1S4 CTU1 VWA1 FRAT2 TUSC1 RGS9BP NAT14 RPP25 YRDC SAPCD2 METRN HGH1 SFT2D3 FRAT1 FNDC10 C1orf122 EXOSC6 LENG9 TLNRD1 CTF1 SAC3D1 RUNDC1 C8orf82 NR2F6 SNX21 TSR3 RNF187 ZBED3 TPGS1 PPP1R3E RNF227 PGP AARD MISP3 RMI2 FAM89B ZNHIT2,
425,No significant GO enrichment,TREX1 MADCAM1 NAA80 AANAT UFSP1 NUDT17 ADAT3 NEIL1 FAM83E NOXO1 C19orf54,
459,No significant GO enrichment,TMIE MANBAL C6orf47 SAYSD1,
416,No significant GO enrichment,IRAK1BP1 TP53RK SRRD LACTB PGAM5 RNASEH1 TRUB1 ENDOG GLRX5 NT5M PRXL2C ECI1,
391,No significant GO enrichment,WDR97 KPTN NWD1 WDR62 LLGL2 ITFG2 CPSF1 LLGL1 WDR6 APEH WDR90 SEC31B LZTR1 BBS1 MED16,
458,No significant GO enrichment,GCLM SAMD5 PLEKHF1 PXDC1 FAM43A,
187,No significant GO enrichment,ZNF846 ZNF763 ZNF440 ZNF490 ZNF823 ZNF670 ZNF844 ZNF559 ZNF441 ZNF77 ZNF556 ZNF266 ZNF799 ZNF699 ZNF709 ZNF101 ZNF426 ZNF57 ZNF69 ZNF491 ZNF20 ZNF439 ZNF778 ZNF555 ZNF564 ZNF121 ZNF433 ZNF14 ZNF878 ZNF124 ZNF442 ZNF443 ZNF136 ZNF700 ZNF669 ZNF627 ZNF625 ZNF560 ZNF44 ZNF791 ZNF563,
401,No significant GO enrichment,PLEKHG2 PCGF6 YY1AP1 MIER2 GORASP1 TJAP1 CSRNP3 ZCCHC8 CSRNP2 CSRNP1 FAM83D SIRT1 SNAPC3,
375,No significant GO enrichment,ERVW-1 APOF APOL2 APOLD1 IFI6 IFI27 TMCO4 APOL5 ERV3-1 ERVMER34-1 ERVV-1 IFI27L1 IFI27L2 ERVV-2 ERVFRD-1 RNF112 SMCO3 APOL4,
301,No significant GO enrichment,PRR23D1 PRR33 SPINDOC SPEM1 VHL PRR20E C17orf107 PRR23D2 PRR23B PRR20D PRR20C BMF PRR23A LRATD2 PRR20B PRR20G PRR20A SPATA32 MAMSTR PRR23C CDRT15L2 EID2B C16orf86 C11orf91 CDRT15,
403,No significant GO enrichment,PDCL3 TRIP4 OTUD6B CFAP36 PDCL CFAP298 RPAIN PDC FEZ2 PRPF18 PDCL2 TXNDC9 MITD1,
267,No significant GO enrichment,OR2M4 OR2T29 OR6C4 OR5M1 OR5AS1 OR8D1 OR6C75 OR2L3 OR2T1 OR2L2 OR5H14 OR2T10 OR5B2 OR2T5 OR5AN1 OR8D4 OR2L5 OR4K2 OR8B8 OR14J1 OR5H1 OR2T11 OR6C74 OR4D9 OR2J3 OR2M3 OR5K1 OR2T6 OR9K2 OR9G1,
297,No significant GO enrichment,MSRB1 POLR2I SUPT4H1 CDKN3 CDPF1 C9orf85 YPEL4 CZIB FAM72D ELOF1 FAM72B RABIF OIP5 RPS27L ZNHIT1 POLR3K PHF5A FAM72A YPEL5 YPEL2 CRIPT CHURC1 YPEL1 RFESD YPEL3 FAM72C,
310,No significant GO enrichment,SHARPIN HCFC1R1 REC114 CASTOR1 FAAP20 ACD GTSF1L RPP21 RANGRF FUZ BCL2L12 ZNRD2 PAXX MVB12A SWSAP1 TEN1 SURF2 ZMAT5 JOSD2 ELP5 C6orf226 POLD4 SCNM1 OVCA2,
345,No significant GO enrichment,RNFT2 RETREG1 MAF1 RIC3 RANBP3 FAM114A2 TMX4 TMED8 BSCL2 BCL2L13 TMEM268 ZFYVE27 SUPT7L RETREG3 NCAPH2 RETREG2 TERF2IP PEX14 CCNDBP1 OGFR,
275,No significant GO enrichment,HGSNAT TM9SF3 XPR1 TMEM184B WFS1 TMEM87B CLPTM1L NEMP2 TM9SF4 TM9SF1 TMEM87A CASD1 SPPL2A GPR107 CLPTM1 SPPL2B SIDT2 TM9SF2 TMEM145 TMEM181 BFAR TMEM259 GPR180 TM7SF3 SIDT1 GPR108 VMP1 NEMP1,
457,No significant GO enrichment,TERF1 TDP2 BEND6 XRCC4 AKAP7,
359,No significant GO enrichment,C5orf47 C9orf40 FAM216A EPM2A MXRA7 DLEU7 PNRC1 MSL1 BBC3 C2orf50 RIPPLY2 LYSMD2 RNF169 CYREN CYS1 MMP24OS CCDC117 POLR2M C11orf97,
426,No significant GO enrichment,RNF182 TMEM88 TMEM221 KCNK6 RNF152 ORAI3 TMEM198 RNF183 RNF186 TMEM88B RNF222,
298,No significant GO enrichment,PRRT2 MS4A14 CHAMP1 SPEM2 PNPLA1 GFY LRRC37A OVGP1 SELENOV QRICH2 DERPC FAM221B PMIS2 SYNC RTP5 C3orf56 C16orf96 LRRC37B MAGEL2 LRRC37A2 KPRP SPATC1 LRRC37A3 ERICH6B CATSPER1,
326,No significant GO enrichment,TATDN3 CYB5R4 PPA2 CBWD2 CBWD3 DPM1 UBLCP1 UCHL3 CBWD6 UCHL1 CDC123 GLRX3 TRIT1 CBWD1 MTG1 DYNC2LI1 DPH5 AARSD1 NUBP1 TATDN1 CBWD5,
438,No significant GO enrichment,ZNF280D BEND7 LIN9 TESMIN ZMYM5 ZMYM4 CBFA2T2 ZC3H7A SKIL ZMYM2,
452,No significant GO enrichment,C5orf24 ZMAT3 INIP PNRC2 ATP23 OTUD3 C2orf69 C8orf88,
